Review_ID,Product_Category,Customer_Age,Review_Text,Sentiment
R0171,Electronics,60+,"Terrible product, do not buy!",Negative
R0172,Books,60+,"It's okay, nothing special.",Neutral
R0173,Home Appliances,41-60,"Terrible product, do not buy!",Negative
R0174,Electronics,26-40,Neutral feelings about this.,Neutral
R0175,Toys,18-25,"Average quality, acceptable for the price.",Neutral
R0176,Electronics,41-60,Meets expectations but no more.,Neutral
R0177,Apparel,60+,Not worth the money.,Negative
R0178,Toys,41-60,Poor quality and bad design.,Negative
R0179,Toys,60+,Perfect in every way!,Positive
R0180,Toys,26-40,Poor quality and bad design.,Negative
R0181,Apparel,41-60,Neutral feelings about this.,Neutral
R0182,Apparel,18-25,Five stars!,Positive
R0183,Toys,41-60,"It's okay, nothing special.",Neutral
R0184,Apparel,60+,Very disappointing.,Negative
R0185,Home Appliances,26-40,Meets expectations but no more.,Neutral
R0186,Toys,41-60,"It's okay, nothing special.",Neutral
R0187,Books,41-60,"Does the job, but not great.",Neutral
R0188,Electronics,41-60,Amazing product!,Positive
R0189,Home Appliances,18-25,Amazing product!,Positive
R0190,Apparel,26-40,Meets expectations but no more.,Neutral
R0191,Apparel,18-25,Will never buy this again.,Negative
R0192,Toys,18-25,Five stars!,Positive
R0193,Books,26-40,"Does the job, but not great.",Neutral
R0194,Apparel,18-25,Exceeded my expectations!,Positive
R0195,Books,18-25,Poor quality and bad design.,Negative
R0196,Electronics,60+,Superb quality and great value.,Positive
R0197,Books,60+,Poor quality and bad design.,Negative
R0198,Home Appliances,60+,"Average quality, acceptable for the price.",Neutral
R0199,Apparel,26-40,Loved it! Will buy again.,Positive
R0200,Toys,18-25,Amazing product!,Positive
R0201,Books,26-40,Exceeded my expectations!,Positive
R0202,Apparel,26-40,Loved it! Will buy again.,Positive
R0203,Toys,18-25,Will never buy this again.,Negative
R0204,Home Appliances,26-40,Horrible experience with this item.,Negative
R0205,Apparel,60+,Not worth the money.,Negative
R0206,Home Appliances,26-40,"Does the job, but not great.",Neutral
R0207,Apparel,18-25,Neutral feelings about this.,Neutral
R0208,Home Appliances,60+,Will never buy this again.,Negative
R0209,Electronics,18-25,Very disappointing.,Negative
R0210,Toys,41-60,Highly recommend this.,Positive
R0211,Toys,60+,Neutral feelings about this.,Neutral
R0212,Electronics,60+,Superb quality and great value.,Positive
R0213,Apparel,60+,Poor quality and bad design.,Negative
R0214,Home Appliances,60+,Horrible experience with this item.,Negative
R0215,Toys,26-40,Horrible experience with this item.,Negative
R0216,Electronics,26-40,"It's okay, nothing special.",Neutral
R0217,Electronics,26-40,"Average quality, acceptable for the price.",Neutral
R0218,Electronics,41-60,Not worth the money.,Negative
R0219,Toys,26-40,Horrible experience with this item.,Negative
R0220,Electronics,26-40,Not worth the money.,Negative
R0221,Home Appliances,18-25,Meets expectations but no more.,Neutral
R0222,Toys,26-40,Highly recommend this.,Positive
R0223,Home Appliances,18-25,"Does the job, but not great.",Neutral
R0224,Toys,41-60,Not worth the money.,Negative
R0225,Electronics,18-25,Horrible experience with this item.,Negative
R0226,Home Appliances,60+,Superb quality and great value.,Positive
R0227,Home Appliances,41-60,Perfect in every way!,Positive
R0228,Electronics,26-40,Neutral feelings about this.,Neutral
R0229,Toys,60+,"Does the job, but not great.",Neutral
R0230,Home Appliances,26-40,Highly recommend this.,Positive
R0231,Books,18-25,Horrible experience with this item.,Negative
R0232,Electronics,26-40,"Does the job, but not great.",Neutral
R0233,Apparel,60+,Loved it! Will buy again.,Positive
R0234,Apparel,60+,Not worth the money.,Negative
R0235,Toys,41-60,Neutral feelings about this.,Neutral
R0236,Home Appliances,18-25,Horrible experience with this item.,Negative
R0237,Toys,18-25,"Terrible product, do not buy!",Negative
R0238,Home Appliances,18-25,Five stars!,Positive
R0239,Electronics,41-60,Meets expectations but no more.,Neutral
R0240,Home Appliances,18-25,"Terrible product, do not buy!",Negative
R0241,Electronics,60+,Not worth the money.,Negative
R0242,Home Appliances,41-60,Meets expectations but no more.,Neutral
R0243,Electronics,26-40,"Does the job, but not great.",Neutral
R0244,Apparel,18-25,Very disappointing.,Negative
R0245,Electronics,60+,Will never buy this again.,Negative
R0246,Apparel,18-25,Highly recommend this.,Positive
R0247,Apparel,60+,Not worth the money.,Negative
R0248,Electronics,18-25,"Does the job, but not great.",Neutral
R0249,Apparel,18-25,Amazing product!,Positive
R0250,Electronics,41-60,Loved it! Will buy again.,Positive
R0251,Books,26-40,"Terrible product, do not buy!",Negative
R0252,Home Appliances,60+,"Average quality, acceptable for the price.",Neutral
R0253,Books,41-60,Will never buy this again.,Negative
R0254,Books,18-25,Poor quality and bad design.,Negative
R0255,Apparel,41-60,"Terrible product, do not buy!",Negative
R0256,Toys,18-25,Amazing product!,Positive
R0257,Electronics,60+,Very disappointing.,Negative
R0258,Books,41-60,"Does the job, but not great.",Neutral
R0259,Electronics,60+,Highly recommend this.,Positive
R0260,Electronics,60+,Will never buy this again.,Negative
R0261,Home Appliances,26-40,Superb quality and great value.,Positive
R0262,Electronics,60+,"Terrible product, do not buy!",Negative
R0263,Books,60+,"Average quality, acceptable for the price.",Neutral
R0264,Apparel,60+,Very disappointing.,Negative
R0265,Home Appliances,18-25,Superb quality and great value.,Positive
R0266,Apparel,41-60,"It's okay, nothing special.",Neutral
R0267,Electronics,18-25,Highly recommend this.,Positive
R0268,Electronics,18-25,Highly recommend this.,Positive
R0269,Electronics,60+,Not worth the money.,Negative
R0270,Apparel,26-40,Superb quality and great value.,Positive
R0271,Books,60+,Perfect in every way!,Positive
R0272,Books,18-25,Amazing product!,Positive
R0273,Apparel,26-40,Will never buy this again.,Negative
R0274,Apparel,18-25,"Terrible product, do not buy!",Negative
R0275,Home Appliances,26-40,Perfect in every way!,Positive
R0276,Toys,26-40,"Does the job, but not great.",Neutral
R0277,Apparel,18-25,Will never buy this again.,Negative
R0278,Toys,60+,Very disappointing.,Negative
R0279,Apparel,41-60,Exceeded my expectations!,Positive
R0280,Books,18-25,Poor quality and bad design.,Negative
R0281,Books,60+,"Terrible product, do not buy!",Negative
R0282,Electronics,60+,Poor quality and bad design.,Negative
R0283,Apparel,26-40,Superb quality and great value.,Positive
R0284,Books,18-25,"Terrible product, do not buy!",Negative
R0285,Books,41-60,Amazing product!,Positive
R0286,Books,18-25,Horrible experience with this item.,Negative
R0287,Electronics,60+,Exceeded my expectations!,Positive
R0288,Home Appliances,26-40,Horrible experience with this item.,Negative
R0289,Apparel,26-40,"Does the job, but not great.",Neutral
R0290,Toys,60+,Poor quality and bad design.,Negative
R0291,Electronics,18-25,Superb quality and great value.,Positive
R0292,Toys,41-60,Will never buy this again.,Negative
R0293,Books,26-40,Exceeded my expectations!,Positive
R0294,Home Appliances,26-40,Not worth the money.,Negative
R0295,Home Appliances,60+,Meets expectations but no more.,Neutral
R0296,Electronics,60+,"Does the job, but not great.",Neutral
R0297,Home Appliances,41-60,Neutral feelings about this.,Neutral
R0298,Toys,26-40,Highly recommend this.,Positive
R0299,Books,26-40,Neutral feelings about this.,Neutral
R0300,Toys,18-25,Poor quality and bad design.,Negative
R0301,Toys,26-40,"Terrible product, do not buy!",Negative
R0302,Toys,60+,Superb quality and great value.,Positive
R0303,Apparel,41-60,Meets expectations but no more.,Neutral
R0304,Apparel,18-25,"It's okay, nothing special.",Neutral
R0305,Electronics,60+,Poor quality and bad design.,Negative
R0306,Apparel,18-25,"Does the job, but not great.",Neutral
R0307,Home Appliances,60+,"Terrible product, do not buy!",Negative
R0308,Books,41-60,Neutral feelings about this.,Neutral
R0309,Electronics,26-40,Horrible experience with this item.,Negative
R0310,Toys,26-40,Meets expectations but no more.,Neutral
R0311,Electronics,60+,Meets expectations but no more.,Neutral
R0312,Electronics,60+,Perfect in every way!,Positive
R0313,Books,60+,Will never buy this again.,Negative
R0314,Apparel,60+,Poor quality and bad design.,Negative
R0315,Books,60+,"Average quality, acceptable for the price.",Neutral
R0316,Apparel,18-25,Not worth the money.,Negative
R0317,Books,60+,Highly recommend this.,Positive
R0318,Books,18-25,Perfect in every way!,Positive
R0319,Books,18-25,Poor quality and bad design.,Negative
R0320,Electronics,26-40,Meets expectations but no more.,Neutral
R0321,Apparel,41-60,Neutral feelings about this.,Neutral
R0322,Books,41-60,"Terrible product, do not buy!",Negative
R0323,Books,26-40,Very disappointing.,Negative
R0324,Books,41-60,Perfect in every way!,Positive
R0325,Electronics,18-25,"Does the job, but not great.",Neutral
R0326,Toys,41-60,Exceeded my expectations!,Positive
R0327,Apparel,18-25,"It's okay, nothing special.",Neutral
R0328,Electronics,18-25,Meets expectations but no more.,Neutral
R0329,Books,26-40,Perfect in every way!,Positive
R0330,Toys,18-25,Superb quality and great value.,Positive
R0331,Toys,41-60,Horrible experience with this item.,Negative
R0332,Electronics,18-25,"Does the job, but not great.",Neutral
R0333,Books,60+,"Average quality, acceptable for the price.",Neutral
R0334,Home Appliances,60+,Will never buy this again.,Negative
R0335,Electronics,60+,Neutral feelings about this.,Neutral
R0336,Toys,60+,Loved it! Will buy again.,Positive
R0337,Electronics,26-40,Loved it! Will buy again.,Positive
R0338,Electronics,18-25,Exceeded my expectations!,Positive
R0339,Toys,41-60,Horrible experience with this item.,Negative
R0340,Books,41-60,Perfect in every way!,Positive
R0341,Toys,18-25,Meets expectations but no more.,Neutral
R0342,Home Appliances,41-60,Perfect in every way!,Positive
R0343,Toys,18-25,"It's okay, nothing special.",Neutral
R0344,Books,41-60,Horrible experience with this item.,Negative
R0345,Apparel,18-25,"It's okay, nothing special.",Neutral
R0346,Home Appliances,26-40,Highly recommend this.,Positive
R0347,Home Appliances,26-40,Meets expectations but no more.,Neutral
R0348,Books,41-60,Loved it! Will buy again.,Positive
R0349,Home Appliances,41-60,Poor quality and bad design.,Negative
R0350,Electronics,41-60,"Terrible product, do not buy!",Negative
R0351,Books,18-25,Neutral feelings about this.,Neutral
R0352,Electronics,41-60,Exceeded my expectations!,Positive
R0353,Home Appliances,60+,Perfect in every way!,Positive
R0354,Toys,60+,Very disappointing.,Negative
R0355,Books,60+,Superb quality and great value.,Positive
R0356,Books,41-60,"Does the job, but not great.",Neutral
R0357,Apparel,60+,Five stars!,Positive
R0358,Toys,26-40,"Average quality, acceptable for the price.",Neutral
R0359,Home Appliances,18-25,Very disappointing.,Negative
R0360,Apparel,60+,Loved it! Will buy again.,Positive
R0361,Electronics,26-40,Not worth the money.,Negative
R0362,Home Appliances,41-60,Not worth the money.,Negative
R0363,Books,26-40,"Average quality, acceptable for the price.",Neutral
R0364,Apparel,26-40,Not worth the money.,Negative
R0365,Toys,18-25,Neutral feelings about this.,Neutral
R0366,Home Appliances,60+,Will never buy this again.,Negative
R0367,Books,18-25,Will never buy this again.,Negative
R0368,Electronics,18-25,Poor quality and bad design.,Negative
R0369,Electronics,41-60,Loved it! Will buy again.,Positive
R0370,Apparel,26-40,Poor quality and bad design.,Negative
R0371,Toys,26-40,Horrible experience with this item.,Negative
R0372,Apparel,26-40,"Terrible product, do not buy!",Negative
R0373,Apparel,18-25,Superb quality and great value.,Positive
R0374,Books,41-60,Horrible experience with this item.,Negative
R0375,Electronics,41-60,Exceeded my expectations!,Positive
R0376,Home Appliances,41-60,Superb quality and great value.,Positive
R0377,Toys,41-60,"It's okay, nothing special.",Neutral
R0378,Electronics,26-40,Loved it! Will buy again.,Positive
R0379,Toys,60+,Neutral feelings about this.,Neutral
R0380,Electronics,41-60,Meets expectations but no more.,Neutral
R0381,Books,26-40,Loved it! Will buy again.,Positive
R0382,Apparel,60+,Very disappointing.,Negative
R0383,Electronics,41-60,Poor quality and bad design.,Negative
R0384,Electronics,41-60,Loved it! Will buy again.,Positive
R0385,Home Appliances,26-40,Neutral feelings about this.,Neutral
R0386,Home Appliances,41-60,Neutral feelings about this.,Neutral
R0387,Apparel,60+,"Average quality, acceptable for the price.",Neutral
R0388,Home Appliances,26-40,"Average quality, acceptable for the price.",Neutral
R0389,Toys,26-40,Neutral feelings about this.,Neutral
R0390,Home Appliances,41-60,Neutral feelings about this.,Neutral
R0391,Home Appliances,41-60,Horrible experience with this item.,Negative
R0392,Toys,18-25,Amazing product!,Positive
R0393,Apparel,26-40,Horrible experience with this item.,Negative
R0394,Books,60+,"Terrible product, do not buy!",Negative
R0395,Toys,41-60,Perfect in every way!,Positive
R0396,Apparel,26-40,"It's okay, nothing special.",Neutral
R0397,Books,41-60,"It's okay, nothing special.",Neutral
R0398,Home Appliances,60+,Loved it! Will buy again.,Positive
R0399,Books,60+,"Does the job, but not great.",Neutral
R0400,Electronics,18-25,"Terrible product, do not buy!",Negative
R0401,Electronics,41-60,Five stars!,Positive
R0402,Toys,18-25,Loved it! Will buy again.,Positive
R0403,Electronics,41-60,Will never buy this again.,Negative
R0404,Electronics,60+,"Terrible product, do not buy!",Negative
R0405,Apparel,18-25,Highly recommend this.,Positive
R0406,Books,41-60,"Average quality, acceptable for the price.",Neutral
R0407,Books,60+,Not worth the money.,Negative
R0408,Apparel,18-25,"It's okay, nothing special.",Neutral
R0409,Home Appliances,60+,Neutral feelings about this.,Neutral
R0410,Toys,26-40,Perfect in every way!,Positive
R0411,Electronics,26-40,Exceeded my expectations!,Positive
R0412,Books,60+,"Average quality, acceptable for the price.",Neutral
R0413,Toys,26-40,Superb quality and great value.,Positive
R0414,Home Appliances,18-25,"It's okay, nothing special.",Neutral
R0415,Apparel,26-40,Superb quality and great value.,Positive
R0416,Toys,18-25,Horrible experience with this item.,Negative
R0417,Books,60+,Perfect in every way!,Positive
R0418,Home Appliances,41-60,Will never buy this again.,Negative
R0419,Apparel,26-40,"It's okay, nothing special.",Neutral
R0420,Books,18-25,Exceeded my expectations!,Positive
R0421,Apparel,41-60,Loved it! Will buy again.,Positive
R0422,Toys,26-40,Loved it! Will buy again.,Positive
R0423,Toys,26-40,Neutral feelings about this.,Neutral
R0424,Apparel,18-25,Five stars!,Positive
R0425,Electronics,60+,Five stars!,Positive
R0426,Home Appliances,18-25,Loved it! Will buy again.,Positive
R0427,Toys,18-25,"Average quality, acceptable for the price.",Neutral
R0428,Electronics,18-25,"Average quality, acceptable for the price.",Neutral
R0429,Home Appliances,41-60,Neutral feelings about this.,Neutral
R0430,Books,26-40,"Terrible product, do not buy!",Negative
R0431,Electronics,41-60,Superb quality and great value.,Positive
R0432,Apparel,41-60,Will never buy this again.,Negative
R0433,Home Appliances,41-60,Horrible experience with this item.,Negative
R0434,Electronics,26-40,Amazing product!,Positive
R0435,Toys,18-25,Neutral feelings about this.,Neutral
R0436,Electronics,26-40,"Does the job, but not great.",Neutral
R0437,Apparel,18-25,Amazing product!,Positive
R0438,Apparel,60+,"Terrible product, do not buy!",Negative
R0439,Apparel,41-60,"Does the job, but not great.",Neutral
R0440,Apparel,41-60,Five stars!,Positive
R0441,Apparel,60+,"Average quality, acceptable for the price.",Neutral
R0442,Books,60+,"Average quality, acceptable for the price.",Neutral
R0443,Home Appliances,60+,Neutral feelings about this.,Neutral
R0444,Books,18-25,"Average quality, acceptable for the price.",Neutral
R0445,Home Appliances,26-40,Not worth the money.,Negative
R0446,Toys,60+,Superb quality and great value.,Positive
R0447,Home Appliances,60+,Five stars!,Positive
R0448,Toys,26-40,Neutral feelings about this.,Neutral
R0449,Apparel,18-25,Exceeded my expectations!,Positive
R0450,Toys,18-25,Neutral feelings about this.,Neutral
R0451,Books,18-25,Meets expectations but no more.,Neutral
R0452,Toys,41-60,"It's okay, nothing special.",Neutral
R0453,Toys,18-25,Meets expectations but no more.,Neutral
R0454,Home Appliances,60+,Highly recommend this.,Positive
R0455,Home Appliances,60+,"Terrible product, do not buy!",Negative
R0456,Toys,60+,Five stars!,Positive
R0457,Books,26-40,Neutral feelings about this.,Neutral
R0458,Apparel,26-40,Horrible experience with this item.,Negative
R0459,Home Appliances,41-60,Perfect in every way!,Positive
R0460,Apparel,26-40,Will never buy this again.,Negative
R0461,Electronics,60+,Loved it! Will buy again.,Positive
R0462,Toys,41-60,Not worth the money.,Negative
R0463,Electronics,26-40,Very disappointing.,Negative
R0464,Home Appliances,41-60,"Average quality, acceptable for the price.",Neutral
R0465,Apparel,60+,Perfect in every way!,Positive
R0466,Home Appliances,41-60,Exceeded my expectations!,Positive
R0467,Apparel,60+,Exceeded my expectations!,Positive
R0468,Toys,26-40,Neutral feelings about this.,Neutral
R0469,Home Appliances,60+,Horrible experience with this item.,Negative
R0470,Toys,60+,"Does the job, but not great.",Neutral
R0471,Books,18-25,Highly recommend this.,Positive
R0472,Toys,60+,"Does the job, but not great.",Neutral
R0473,Home Appliances,18-25,Exceeded my expectations!,Positive
R0474,Toys,60+,Not worth the money.,Negative
R0475,Home Appliances,60+,Poor quality and bad design.,Negative
R0476,Toys,60+,Neutral feelings about this.,Neutral
R0477,Apparel,18-25,"It's okay, nothing special.",Neutral
R0478,Electronics,26-40,"Average quality, acceptable for the price.",Neutral
R0479,Home Appliances,26-40,"It's okay, nothing special.",Neutral
R0480,Home Appliances,41-60,Superb quality and great value.,Positive
R0481,Books,26-40,Perfect in every way!,Positive
R0482,Apparel,41-60,Not worth the money.,Negative
R0483,Electronics,60+,Neutral feelings about this.,Neutral
R0484,Electronics,41-60,Very disappointing.,Negative
R0485,Electronics,18-25,Not worth the money.,Negative
R0486,Electronics,18-25,Poor quality and bad design.,Negative
R0487,Electronics,18-25,"Does the job, but not great.",Neutral
R0488,Toys,18-25,Meets expectations but no more.,Neutral
R0489,Apparel,26-40,"Average quality, acceptable for the price.",Neutral
R0490,Toys,60+,Exceeded my expectations!,Positive
R0491,Toys,60+,"It's okay, nothing special.",Neutral
R0492,Electronics,60+,"Does the job, but not great.",Neutral
R0493,Toys,41-60,Neutral feelings about this.,Neutral
R0494,Books,41-60,Amazing product!,Positive
R0495,Apparel,26-40,"Terrible product, do not buy!",Negative
R0496,Toys,26-40,Horrible experience with this item.,Negative
R0497,Electronics,18-25,Meets expectations but no more.,Neutral
R0498,Books,41-60,Exceeded my expectations!,Positive
R0499,Toys,41-60,Neutral feelings about this.,Neutral
R0500,Electronics,60+,"Average quality, acceptable for the price.",Neutral
R0501,Electronics,18-25,"Does the job, but not great.",Neutral
R0502,Toys,60+,Poor quality and bad design.,Negative
R0503,Home Appliances,18-25,Perfect in every way!,Positive
R0504,Apparel,26-40,Meets expectations but no more.,Neutral
R0505,Books,18-25,Meets expectations but no more.,Neutral
R0506,Toys,26-40,"Terrible product, do not buy!",Negative
R0507,Toys,60+,Meets expectations but no more.,Neutral
R0508,Apparel,41-60,"Does the job, but not great.",Neutral
R0509,Toys,41-60,Perfect in every way!,Positive
